V_GHG_EMITTER_FACILITIES.COUNTY,V_GHG_EMITTER_FACILITIES.COUNTY_FIPS,V_GHG_EMITTER_FACILITIES.FACILITY_ID,V_GHG_EMITTER_FACILITIES.FACILITY_NAME,V_GHG_EMITTER_FACILITIES.LATITUDE,V_GHG_EMITTER_FACILITIES.LONGITUDE,V_GHG_EMITTER_FACILITIES.STATE,V_GHG_EMITTER_FACILITIES.STATE_NAME,V_GHG_EMITTER_FACILITIES.YEAR,V_GHG_EMITTER_FACILITIES.ZIP,D_FUEL_LEVEL_INFORMATION.CH4_EMISSIONS_CO2E,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_BLEND,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_OTHER,D_FUEL_LEVEL_INFORMATION.REPORTING_YEAR,D_SUBPART_LEVEL_INFORMATION.GHG_NAME,D_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY
Pennington,46103,1000049,Lange,44.1212,-103.2608,SD,SOUTH DAKOTA,2010,57702,1.2,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,0.006
Pennington,46103,1000049,Lange,44.1212,-103.2608,SD,SOUTH DAKOTA,2010,57702,1.2,Natural Gas (Weighted U.S. Average),,,2010,Biogenic Carbon dioxide,0
Pennington,46103,1000049,Lange,44.1212,-103.2608,SD,SOUTH DAKOTA,2010,57702,1.2,Natural Gas (Weighted U.S. Average),,,2010,Methane,0.06
Pennington,46103,1000049,Lange,44.1212,-103.2608,SD,SOUTH DAKOTA,2010,57702,1.2,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,3179.5
Campbell,56005,1000050,Wygen I,44.285366,-105.38249,WY,WYOMING,2010,82718,164.2,Subbituminous,,,2010,Nitrous Oxide,12.504
Campbell,56005,1000050,Wygen I,44.285366,-105.38249,WY,WYOMING,2010,82718,164.2,Subbituminous,,,2010,Carbon Dioxide,743589.1
Campbell,56005,1000050,Wygen I,44.285366,-105.38249,WY,WYOMING,2010,82718,164.2,Subbituminous,,,2010,Biogenic Carbon dioxide,0
Campbell,56005,1000050,Wygen I,44.285366,-105.38249,WY,WYOMING,2010,82718,164.2,Subbituminous,,,2010,Methane,7.82
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2010,85322,308.7,Natural Gas (Weighted U.S. Average),,,2010,Methane,56.17
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2010,85322,284.4,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,5.617
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2010,85322,308.7,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,5.617
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2010,85322,304.4,Natural Gas (Weighted U.S. Average),,,2010,Biogenic Carbon dioxide,0
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2010,85322,282,Natural Gas (Weighted U.S. Average),,,2010,Biogenic Carbon dioxide,0
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2010,85322,308.7,Natural Gas (Weighted U.S. Average),,,2010,Biogenic Carbon dioxide,0
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2010,85322,304.4,Natural Gas (Weighted U.S. Average),,,2010,Methane,56.17
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2010,85322,282,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,3027986
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2010,85322,304.4,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,3027986
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2010,85322,284.4,Natural Gas (Weighted U.S. Average),,,2010,Biogenic Carbon dioxide,0
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2010,85322,304.4,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,5.617
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2010,85322,282,Natural Gas (Weighted U.S. Average),,,2010,Methane,56.17
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2010,85322,308.7,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,3027986
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2010,85322,284.4,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,3027986
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2010,85322,284.4,Natural Gas (Weighted U.S. Average),,,2010,Methane,56.17
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2010,85322,282,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,5.617
Solano,6095,1000058,CalPeak Power - Vaca Dixon LLC,38.39223,-121.98681,CA,CALIFORNIA,2010,95688,1.2,Natural Gas (Weighted U.S. Average),,,2010,Methane,0.06
Solano,6095,1000058,CalPeak Power - Vaca Dixon LLC,38.39223,-121.98681,CA,CALIFORNIA,2010,95688,1.2,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,2922.8
Solano,6095,1000058,CalPeak Power - Vaca Dixon LLC,38.39223,-121.98681,CA,CALIFORNIA,2010,95688,1.2,Natural Gas (Weighted U.S. Average),,,2010,Biogenic Carbon dioxide,0
Solano,6095,1000058,CalPeak Power - Vaca Dixon LLC,38.39223,-121.98681,CA,CALIFORNIA,2010,95688,1.2,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,0.006
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2010,74553,126.1,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,2.337
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2010,74553,126.1,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,1260303.1
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2010,74553,113.3,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,2.337
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2010,74553,133.8,Natural Gas (Weighted U.S. Average),,,2010,Methane,23.37
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2010,74553,126.1,Natural Gas (Weighted U.S. Average),,,2010,Biogenic Carbon dioxide,0
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2010,74553,117.8,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,2.337
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2010,74553,117.8,Natural Gas (Weighted U.S. Average),,,2010,Methane,23.37
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2010,74553,113.3,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,1260303.1
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2010,74553,133.8,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,1260303.1
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2010,74553,133.8,Natural Gas (Weighted U.S. Average),,,2010,Biogenic Carbon dioxide,0
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2010,74553,113.3,Natural Gas (Weighted U.S. Average),,,2010,Methane,23.37
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2010,74553,133.8,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,2.337
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2010,74553,117.8,Natural Gas (Weighted U.S. Average),,,2010,Biogenic Carbon dioxide,0
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2010,74553,113.3,Natural Gas (Weighted U.S. Average),,,2010,Biogenic Carbon dioxide,0
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2010,74553,117.8,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,1260303.1
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2010,74553,126.1,Natural Gas (Weighted U.S. Average),,,2010,Methane,23.37
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2010,80828,0.8,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,9739.7
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2010,80828,0.8,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,0.041
