V_GHG_EMITTER_FACILITIES.COUNTY,V_GHG_EMITTER_FACILITIES.FACILITY_ID,V_GHG_EMITTER_FACILITIES.FACILITY_NAME,V_GHG_EMITTER_FACILITIES.LATITUDE,V_GHG_EMITTER_FACILITIES.LONGITUDE,V_GHG_EMITTER_FACILITIES.STATE,V_GHG_EMITTER_FACILITIES.STATE_NAME,D_FUEL_LEVEL_INFORMATION.CH4_EMISSIONS_CO2E,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_BLEND,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_OTHER,D_FUEL_LEVEL_INFORMATION.REPORTING_YEAR,D_SUBPART_LEVEL_INFORMATION.GHG_NAME,D_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY
Pennington,1000049,Lange,44.1212,-103.2608,SD,SOUTH DAKOTA,1,Natural Gas (Weighted U.S. Average),,,2011,Methane,0.05
Pennington,1000049,Lange,44.1212,-103.2608,SD,SOUTH DAKOTA,1,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,0.005
Pennington,1000049,Lange,44.1212,-103.2608,SD,SOUTH DAKOTA,1,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,2675.8
Pennington,1000049,Lange,44.1212,-103.2608,SD,SOUTH DAKOTA,1,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
Campbell,1000050,Wygen I,44.285366,-105.38249,WY,WYOMING,187.5,Subbituminous,,,2011,Biogenic Carbon dioxide,0
Campbell,1000050,Wygen I,44.285366,-105.38249,WY,WYOMING,187.5,Subbituminous,,,2011,Nitrous Oxide,14.294
Campbell,1000050,Wygen I,44.285366,-105.38249,WY,WYOMING,187.5,Subbituminous,,,2011,Carbon Dioxide,850014.1
Campbell,1000050,Wygen I,44.285366,-105.38249,WY,WYOMING,187.5,Subbituminous,,,2011,Methane,8.93
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,242.6,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,4.557
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,230.1,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,4.557
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,230.1,Natural Gas (Weighted U.S. Average),,,2011,Methane,45.57
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,242.6,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,2456732.7
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,242.6,Natural Gas (Weighted U.S. Average),,,2011,Methane,45.57
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,226.9,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,4.557
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,226.9,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,242.6,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,257.3,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,4.557
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,257.3,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,2456732.7
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,226.9,Natural Gas (Weighted U.S. Average),,,2011,Methane,45.57
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,230.1,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,2456732.7
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,230.1,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,226.9,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,2456732.7
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,257.3,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
Maricopa,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,257.3,Natural Gas (Weighted U.S. Average),,,2011,Methane,45.57
Solano,1000058,CalPeak Power - Vaca Dixon LLC,38.39223,-121.98681,CA,CALIFORNIA,3.2,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
Solano,1000058,CalPeak Power - Vaca Dixon LLC,38.39223,-121.98681,CA,CALIFORNIA,3.2,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,8050.7
Solano,1000058,CalPeak Power - Vaca Dixon LLC,38.39223,-121.98681,CA,CALIFORNIA,3.2,Natural Gas (Weighted U.S. Average),,,2011,Methane,0.15
Solano,1000058,CalPeak Power - Vaca Dixon LLC,38.39223,-121.98681,CA,CALIFORNIA,3.2,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,0.015
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,121.7,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,2.338
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,124.9,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,120.5,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,2.338
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,120.5,Natural Gas (Weighted U.S. Average),,,2011,Methane,23.38
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,124,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,2.338
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,124,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,1260773.1
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,121.7,Natural Gas (Weighted U.S. Average),,,2011,Methane,23.38
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,121.7,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
