V_GHG_EMITTER_FACILITIES.COUNTY,V_GHG_EMITTER_FACILITIES.COUNTY_FIPS,V_GHG_EMITTER_FACILITIES.FACILITY_ID,V_GHG_EMITTER_FACILITIES.FACILITY_NAME,V_GHG_EMITTER_FACILITIES.LATITUDE,V_GHG_EMITTER_FACILITIES.LONGITUDE,V_GHG_EMITTER_FACILITIES.STATE,V_GHG_EMITTER_FACILITIES.STATE_NAME,V_GHG_EMITTER_FACILITIES.YEAR,V_GHG_EMITTER_FACILITIES.ZIP,D_FUEL_LEVEL_INFORMATION.CH4_EMISSIONS_CO2E,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_BLEND,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_OTHER,D_FUEL_LEVEL_INFORMATION.REPORTING_YEAR,D_SUBPART_LEVEL_INFORMATION.GHG_NAME,D_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY
Pennington,46103,1000049,Lange,44.1212,-103.2608,SD,SOUTH DAKOTA,2011,57702,1,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,2675.8
Pennington,46103,1000049,Lange,44.1212,-103.2608,SD,SOUTH DAKOTA,2011,57702,1,Natural Gas (Weighted U.S. Average),,,2011,Methane,0.05
Pennington,46103,1000049,Lange,44.1212,-103.2608,SD,SOUTH DAKOTA,2011,57702,1,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
Pennington,46103,1000049,Lange,44.1212,-103.2608,SD,SOUTH DAKOTA,2011,57702,1,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,0.005
Campbell,56005,1000050,Wygen I,44.285366,-105.38249,WY,WYOMING,2011,82718,187.5,Subbituminous,,,2011,Nitrous Oxide,14.294
Campbell,56005,1000050,Wygen I,44.285366,-105.38249,WY,WYOMING,2011,82718,187.5,Subbituminous,,,2011,Biogenic Carbon dioxide,0
Campbell,56005,1000050,Wygen I,44.285366,-105.38249,WY,WYOMING,2011,82718,187.5,Subbituminous,,,2011,Methane,8.93
Campbell,56005,1000050,Wygen I,44.285366,-105.38249,WY,WYOMING,2011,82718,187.5,Subbituminous,,,2011,Carbon Dioxide,850014.1
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2011,85322,242.6,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,2456732.7
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2011,85322,257.3,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,2456732.7
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2011,85322,230.1,Natural Gas (Weighted U.S. Average),,,2011,Methane,45.57
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2011,85322,242.6,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2011,85322,230.1,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2011,85322,242.6,Natural Gas (Weighted U.S. Average),,,2011,Methane,45.57
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2011,85322,257.3,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,4.557
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2011,85322,257.3,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2011,85322,242.6,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,4.557
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2011,85322,226.9,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,4.557
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2011,85322,230.1,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,2456732.7
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2011,85322,230.1,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,4.557
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2011,85322,226.9,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,2456732.7
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2011,85322,226.9,Natural Gas (Weighted U.S. Average),,,2011,Methane,45.57
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2011,85322,226.9,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2011,85322,257.3,Natural Gas (Weighted U.S. Average),,,2011,Methane,45.57
Solano,6095,1000058,CalPeak Power - Vaca Dixon LLC,38.39223,-121.98681,CA,CALIFORNIA,2011,95688,3.2,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,8050.7
Solano,6095,1000058,CalPeak Power - Vaca Dixon LLC,38.39223,-121.98681,CA,CALIFORNIA,2011,95688,3.2,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
Solano,6095,1000058,CalPeak Power - Vaca Dixon LLC,38.39223,-121.98681,CA,CALIFORNIA,2011,95688,3.2,Natural Gas (Weighted U.S. Average),,,2011,Methane,0.15
