V_GHG_EMITTER_FACILITIES.COUNTY,V_GHG_EMITTER_FACILITIES.COUNTY_FIPS,V_GHG_EMITTER_FACILITIES.FACILITY_ID,V_GHG_EMITTER_FACILITIES.FACILITY_NAME,V_GHG_EMITTER_FACILITIES.LATITUDE,V_GHG_EMITTER_FACILITIES.LONGITUDE,V_GHG_EMITTER_FACILITIES.STATE,V_GHG_EMITTER_FACILITIES.STATE_NAME,V_GHG_EMITTER_FACILITIES.YEAR,V_GHG_EMITTER_FACILITIES.ZIP,D_FUEL_LEVEL_INFORMATION.CH4_EMISSIONS_CO2E,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_BLEND,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_OTHER,D_FUEL_LEVEL_INFORMATION.REPORTING_YEAR,D_SUBPART_LEVEL_INFORMATION.GHG_NAME,D_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY
Pennington,46103,1000049,Lange,44.1212,-103.2608,SD,SOUTH DAKOTA,2012,57702,3,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Pennington,46103,1000049,Lange,44.1212,-103.2608,SD,SOUTH DAKOTA,2012,57702,3,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,7765.1
Pennington,46103,1000049,Lange,44.1212,-103.2608,SD,SOUTH DAKOTA,2012,57702,3,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.14
Pennington,46103,1000049,Lange,44.1212,-103.2608,SD,SOUTH DAKOTA,2012,57702,3,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.014
Campbell,56005,1000050,Wygen I,44.285366,-105.38249,WY,WYOMING,2012,82718,179.1,Subbituminous,,,2012,Nitrous Oxide,13.656
Campbell,56005,1000050,Wygen I,44.285366,-105.38249,WY,WYOMING,2012,82718,179.1,Subbituminous,,,2012,Biogenic Carbon dioxide,0
Campbell,56005,1000050,Wygen I,44.285366,-105.38249,WY,WYOMING,2012,82718,179.1,Subbituminous,,,2012,Carbon Dioxide,812053
Campbell,56005,1000050,Wygen I,44.285366,-105.38249,WY,WYOMING,2012,82718,179.1,Subbituminous,,,2012,Methane,8.53
Contra Costa,6013,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,2012,94514,0.8,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.19
Contra Costa,6013,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,2012,94514,1,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.019
Contra Costa,6013,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,2012,94514,1.1,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.19
Contra Costa,6013,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,2012,94514,1.1,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,9838.3
Contra Costa,6013,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,2012,94514,1.1,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.019
Contra Costa,6013,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,2012,94514,1.1,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Contra Costa,6013,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,2012,94514,0.8,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Contra Costa,6013,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,2012,94514,1,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,9838.3
Contra Costa,6013,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,2012,94514,0.8,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,9838.3
Contra Costa,6013,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,2012,94514,0.8,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.019
Contra Costa,6013,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,2012,94514,1,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.19
Contra Costa,6013,1000051,Mariposa Energy  LLC,37.84383,-121.6166,CA,CALIFORNIA,2012,94514,1,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2012,85322,200.6,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,4.216
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2012,85322,200.6,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2012,85322,243.8,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,2273186.4
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2012,85322,198.5,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,4.216
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2012,85322,198.5,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2012,85322,200.6,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,2273186.4
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2012,85322,242.5,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,2273186.4
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2012,85322,242.5,Natural Gas (Weighted U.S. Average),,,2012,Methane,42.16
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2012,85322,243.8,Natural Gas (Weighted U.S. Average),,,2012,Methane,42.16
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2012,85322,200.6,Natural Gas (Weighted U.S. Average),,,2012,Methane,42.16
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2012,85322,242.5,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2012,85322,243.8,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2012,85322,198.5,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,2273186.4
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2012,85322,242.5,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,4.216
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2012,85322,243.8,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,4.216
Maricopa,4013,1000052,Mesquite Generating Station,33.32,-112.7832,AZ,ARIZONA,2012,85322,198.5,Natural Gas (Weighted U.S. Average),,,2012,Methane,42.16
Solano,6095,1000058,CalPeak Power - Vaca Dixon LLC,38.39223,-121.98681,CA,CALIFORNIA,2012,95688,2.6,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,6641.2
Solano,6095,1000058,CalPeak Power - Vaca Dixon LLC,38.39223,-121.98681,CA,CALIFORNIA,2012,95688,2.6,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.013
Solano,6095,1000058,CalPeak Power - Vaca Dixon LLC,38.39223,-121.98681,CA,CALIFORNIA,2012,95688,2.6,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Solano,6095,1000058,CalPeak Power - Vaca Dixon LLC,38.39223,-121.98681,CA,CALIFORNIA,2012,95688,2.6,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.13
